"Nr okrÍgu";"Nr listy";"Pozycja na liúcie";"Nazwisko i imiona";"Nazwa komitetu";"P≥eÊ";"ZawÛd";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"PrzynaleønoúÊ do partii";"Poparcie";"Liczba g≥osÛw";"Procent g≥osÛw oddanych na listÍ";"Procent g≥osÛw oddanych w okrÍgu";"Czy przyznano mandat"
1;1;2;"Pawe≥ Piotr KLESZCZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"politolog";"Wroc≥aw";"026401";"m. Wroc≥aw";"cz≥onek partii politycznej: Bezpartyjni Samorzπdowcy-£πczy nas Polska";"";3397;"20,28";"0,68";"Nie"
1;1;3;"Katarzyna Aneta GRZELAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"wyøszy urzÍdnik samorzπdowy";"ZawidÛw";"022501";"m. ZawidÛw";"nie naleøy do partii politycznej";"";1330;"7,94";"0,27";"Nie"
1;1;4;"Jaros≥aw KOWALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"inøynier budownictwa";"Boles≥awiec";"020101";"m. Boles≥awiec";"nie naleøy do partii politycznej";"";896;"5,35";"0,18";"Nie"
1;1;5;"Bart≥omiej B≥aøej RODAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"rzecznik prasowy";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";495;"2,96";"0,10";"Nie"
1;1;6;"Mariusz KOZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"przedsiÍbiorca";"TrzÍsÛw";"021603";"gm. GrÍbocice";"nie naleøy do partii politycznej";"";905;"5,40";"0,18";"Nie"
1;1;7;"Alicja SZKLARSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"emeryt";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";1058;"6,32";"0,21";"Nie"
1;1;8;"Tomasz MALCZEWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"nauczyciel";"LwÛwek ålπski";"021203";"gm. LwÛwek ålπski";"nie naleøy do partii politycznej";"";394;"2,35";"0,08";"Nie"
1;1;9;"Adriana Stefania WOJDAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"specjalista administracji publicznej";"Bielawa Dolna";"022504";"gm. PieÒsk";"nie naleøy do partii politycznej";"";321;"1,92";"0,06";"Nie"
1;1;10;"Krzysztof Witold STRYNKOWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"specjalista ochrony úrodowiska";"Raczkowa";"020905";"gm. Legnickie Pole";"nie naleøy do partii politycznej";"";363;"2,17";"0,07";"Nie"
1;1;11;"Beata CASTANEDA TRUJILLO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"ekonomista";"Krotoszyce";"020903";"gm. Krotoszyce";"nie naleøy do partii politycznej";"";369;"2,20";"0,07";"Nie"
1;1;12;"Hubert Wojciech PAPAJ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"specjalista do spraw zarzπdzania";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";940;"5,61";"0,19";"Nie"
1;1;13;"Kinga G SICKA-BIA£Y";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"technik handlowiec";"TomaszÛw Boles≥awiecki";"020106";"gm. Warta Boles≥awiecka";"nie naleøy do partii politycznej";"";449;"2,68";"0,09";"Nie"
1;1;14;"Maciej Jan CIEåLA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"nauczyciel";"ChojnÛw";"020901";"m. ChojnÛw";"nie naleøy do partii politycznej";"";350;"2,09";"0,07";"Nie"
1;1;15;"Andrzej Marek MIELOCH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"politolog";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";218;"1,30";"0,04";"Nie"
1;1;16;"Izabela ZOBEL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"emerytka";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";377;"2,25";"0,08";"Nie"
1;1;17;"Wies≥aw Jan BIENIEK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"emeryt";"Lubawka";"020703";"gm. Lubawka";"nie naleøy do partii politycznej";"";272;"1,62";"0,05";"Nie"
1;1;18;"Agata Agnieszka KANAS-PASTWA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";182;"1,09";"0,04";"Nie"
1;1;19;"Karol KUSIBAB";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"specjalista administracji publicznej";"Leúna";"021003";"gm. Leúna";"nie naleøy do partii politycznej";"";667;"3,98";"0,13";"Nie"
1;1;20;"Tomasz Stanis≥aw KAPRAL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"gÛrnik";"Z≥otoryja";"022602";"m. Z≥otoryja";"nie naleøy do partii politycznej";"";220;"1,31";"0,04";"Nie"
1;1;21;"Aleksandra WACH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"specjalista administracji publicznej";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";410;"2,45";"0,08";"Nie"
1;1;22;"Ignacy PI TA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"emeryt";"Marcinowice";"020504";"gm. MúciwojÛw";"nie naleøy do partii politycznej";"";235;"1,40";"0,05";"Nie"
1;1;23;"Edyta TECLAF-ZAWADZKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"Kobieta";"poúrednik w obrocie nieruchomoúciami";"Mrzeøyno";"320508";"gm. TrzebiatÛw";"nie naleøy do partii politycznej";"";137;"0,82";"0,03";"Nie"
1;1;24;"Norbert Romuald H£ADKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZ•DOWCY";"MÍøczyzna";"inøynier organizacji i planowania produkcji";"Zgorzelec";"022502";"m. Zgorzelec";"nie naleøy do partii politycznej";"";324;"1,93";"0,06";"Nie"
1;2;1;"Tadeusz SAMBORSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"emeryt";"RogÛw Legnicki";"020907";"gm. Prochowice";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";16120;"29,88";"3,21";"Tak"
1;2;2;"Jan WOJTOWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"wyøszy urzÍdnik samorzπdowy";"Biedrzychowa";"021604";"gm. Polkowice";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";8117;"15,04";"1,62";"Nie"
1;2;3;"Mariola SZCZ SNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"przedstawiciel w≥adzy samorzπdowej";"Mojesz";"021203";"gm. LwÛwek ålπski";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";7639;"14,16";"1,52";"Nie"
1;2;4;"Krystyna Henryka BARCIK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie naleøy do partii politycznej";"";2033;"3,77";"0,41";"Nie"
1;2;5;"Artur Andrzej JURKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"przedstawiciel w≥adzy samorzπdowej";"Ruszowice";"020302";"gm. G≥ogÛw";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";1443;"2,67";"0,29";"Nie"
1;2;6;"Arkadiusz Pawe≥ ROJEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"politolog";"G≥ogÛw";"020301";"m. G≥ogÛw";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";1294;"2,40";"0,26";"Nie"
1;2;7;"Olga BURDYNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"ØeliszÛw";"020102";"gm. Boles≥awiec";"nie naleøy do partii politycznej";"";2059;"3,82";"0,41";"Nie"
1;2;8;"Jacek Pawe≥ SUBOCZEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"nauczyciel";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";1210;"2,24";"0,24";"Nie"
1;2;9;"Zofia RAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"GryfÛw ålπski";"021201";"gm. GryfÛw ålπski";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";1983;"3,68";"0,40";"Nie"
1;2;10;"Waldemar KUBAS";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"dyrektor logistyki";"Olbrachtowice";"022307";"gm. SobÛtka";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";985;"1,83";"0,20";"Nie"
1;2;11;"Jan Franciszek GRYGORCEWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"emeryt";"Granowice";"020506";"gm. Wπdroøe Wielkie";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";797;"1,48";"0,16";"Nie"
1;2;12;"Edyta Rozalia KRAJNIAK-BURBA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"doradca handlowy";"Zgorzelec";"022502";"m. Zgorzelec";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";973;"1,80";"0,19";"Nie"
1;2;13;"JÛzef Adam NADOLNY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"nauczyciel przedmiotÛw zawodowych technicznych";"Piechowice";"020603";"m. Piechowice";"nie naleøy do partii politycznej";"";732;"1,36";"0,15";"Nie"
1;2;14;"Krzysztof Wojciech PITNER";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"kierowca";"Legnica";"026201";"m. Legnica";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";337;"0,62";"0,07";"Nie"
1;2;15;"Bartosz £ASICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"rolnik";"NawojÛw £uøycki";"021004";"gm. LubaÒ";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";1113;"2,06";"0,22";"Nie"
1;2;16;"Aleksandra CHOMICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"urzÍdnik";"Pisarzowice";"021004";"gm. LubaÒ";"nie naleøy do partii politycznej";"popierana przez partiÍ politycznπ: Polska 2050 Szymona Ho≥owni";1319;"2,44";"0,26";"Nie"
1;2;17;"Marek Miros≥aw STARO—";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"redaktor serwisu internetowego";"Polkowice";"021604";"gm. Polkowice";"nie naleøy do partii politycznej";"";877;"1,63";"0,17";"Nie"
1;2;18;"Arkadiusz Bogdan CHYL";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"adwokat";"Bogatynia";"022503";"gm. Bogatynia";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";395;"0,73";"0,08";"Nie"
1;2;19;"Sonia Krystyna TURZYNIECKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emeryt";"Boles≥awiec";"020101";"m. Boles≥awiec";"nie naleøy do partii politycznej";"";380;"0,70";"0,08";"Nie"
1;2;20;"Agata Krystyna SAJDYK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"technik administracji";"Gawrony";"021103";"gm. Rudna";"nie naleøy do partii politycznej";"popierana przez partiÍ politycznπ: Polska 2050 Szymona Ho≥owni";634;"1,17";"0,13";"Nie"
1;2;21;"Wojciech Bart≥omiej SMOLI—SKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"prawnik";"Wroc≥aw";"026401";"m. Wroc≥aw";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";734;"1,36";"0,15";"Nie"
1;2;22;"Jolanta Ewa SKAWI—SKA-KOSTKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"agent ubezpieczeniowy";"Stara Kraúnica";"022604";"gm. åwierzawa";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";542;"1,00";"0,11";"Nie"
1;2;23;"Marcin Karol KRASOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"informatyk";"Lubin";"021101";"m. Lubin";"cz≥onek partii politycznej: Polskie Stronnictwo Ludowe";"";591;"1,10";"0,12";"Nie"
1;2;24;"Tomasz Oskar STRYKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HO£OWNI - POLSKIE STRONNICTWO LUDOWE";"MÍøczyzna";"przedsiÍbiorca";"£agÛw";"022507";"gm. Zgorzelec";"cz≥onek partii politycznej: Polska 2050 Szymona Ho≥owni";"";1651;"3,06";"0,33";"Nie"
1;3;1;"Arkadiusz SIKORA";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"ekonomista";"Oleúnica";"021401";"m. Oleúnica";"cz≥onek partii politycznej: Nowa Lewica";"";12048;"25,25";"2,40";"Tak"
1;3;2;"Robert Marcin OBAZ";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"przedsiÍbiorca";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"cz≥onek partii politycznej: Nowa Lewica";"";4124;"8,64";"0,82";"Nie"
1;3;3;"Kaja FILACZY—SKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"lekarz";"Legnica";"026201";"m. Legnica";"cz≥onek partii politycznej: Lewica Razem";"";8663;"18,16";"1,73";"Nie"
1;3;4;"Jeremi Adam HO£OWNIA";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"inø. elektryk";"G≥ogÛw";"020301";"m. G≥ogÛw";"cz≥onek partii politycznej: Unia Pracy";"";6526;"13,68";"1,30";"Nie"
1;3;5;"Joanna Agnieszka PIOTROWICZ-D BICKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Jawor";"020501";"m. Jawor";"cz≥onek partii politycznej: Nowa Lewica";"";1965;"4,12";"0,39";"Nie"
1;3;6;"Rafa≥ MIARA";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"ekonomista";"Z≥otoryja";"022602";"m. Z≥otoryja";"cz≥onek partii politycznej: Nowa Lewica";"";1901;"3,98";"0,38";"Nie"
1;3;7;"Agnieszka Iga BEM";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"nauczyciel akademicki";"Legnica";"026201";"m. Legnica";"cz≥onek partii politycznej: Nowa Lewica";"";1672;"3,50";"0,33";"Nie"
1;3;8;"Magdalena Weronika CZUCHRYTA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"politolog";"LubaÒ";"021001";"m. LubaÒ";"cz≥onek partii politycznej: Nowa Lewica";"";1502;"3,15";"0,30";"Nie"
1;3;9;"Krzysztof DZIARMAGA";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"úlusarz-mechanik";"ChojnÛw";"020901";"m. ChojnÛw";"cz≥onek partii politycznej: Lewica Razem";"";470;"0,99";"0,09";"Nie"
1;3;10;"Piotr Jerzy PACZ”SKI";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"ekonomista";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"cz≥onek partii politycznej: Nowa Lewica";"";905;"1,90";"0,18";"Nie"
1;3;11;"Leszek Kazimierz GRZYB";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"przedsiÍbiorca";"Zgorzelec";"022502";"m. Zgorzelec";"cz≥onek partii politycznej: Nowa Lewica";"";867;"1,82";"0,17";"Nie"
1;3;12;"Danuta GAJLEWICZ";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"technik ekg";"Boles≥awiec";"020101";"m. Boles≥awiec";"cz≥onek partii politycznej: Nowa Lewica";"";580;"1,22";"0,12";"Nie"
1;3;13;"Sebastian STYCHARZ";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"nauczyciel";"Olszyna";"021005";"gm. Olszyna";"cz≥onek partii politycznej: Nowa Lewica";"";677;"1,42";"0,13";"Nie"
1;3;14;"Eløbieta Malwina KACZMAREK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pracownik produkcji i kontroli jakoúci";"Legnica";"026201";"m. Legnica";"cz≥onek partii politycznej: Nowa Lewica";"";672;"1,41";"0,13";"Nie"
1;3;15;"£ukasz KLIMOWSKI";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"pracownik administracji";"Boles≥awiec";"020101";"m. Boles≥awiec";"cz≥onek partii politycznej: Nowa Lewica";"";356;"0,75";"0,07";"Nie"
1;3;16;"Klaudia Maja KLIMCZEWSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"specjalistka prawa pracy";"Warszawa";"146507";"Praga-Po≥udnie";"cz≥onek partii politycznej: Nowa Lewica";"";635;"1,33";"0,13";"Nie"
1;3;17;"Marek Piotr KACPRZAK";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"emeryt";"Smolnik";"021003";"gm. Leúna";"cz≥onek partii politycznej: Lewica Razem";"";260;"0,54";"0,05";"Nie"
1;3;18;"Czes≥awa B£AUT";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"mechanik automatyki przemys≥owej i urzπdzeÒ precyzyjnych";"Lubin";"021101";"m. Lubin";"cz≥onek partii politycznej: Nowa Lewica";"";316;"0,66";"0,06";"Nie"
1;3;19;"£ukasz Pawe≥ GRZEåKOWICZ";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"geolog";"StrzeszÛw";"022004";"gm. Wisznia Ma≥a";"cz≥onek partii politycznej: Nowa Lewica";"";163;"0,34";"0,03";"Nie"
1;3;20;"Eløbieta BAJER";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pedagog";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"nie naleøy do partii politycznej";"";700;"1,47";"0,14";"Nie"
1;3;21;"Kornel Tadeusz åLUSARZ";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"logistyk";"KrzeszÛw";"020702";"gm. Kamienna GÛra";"cz≥onek partii politycznej: Lewica Razem";"";409;"0,86";"0,08";"Nie"
1;3;22;"Zuzanna Anna KR”LAK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"lekarz weterynarii";"GryfÛw ålπski";"021201";"gm. GryfÛw ålπski";"cz≥onek partii politycznej: Lewica Razem";"";1047;"2,19";"0,21";"Nie"
1;3;23;"Agnieszka JANUCHOWSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Jawor";"020501";"m. Jawor";"cz≥onek partii politycznej: Nowa Lewica";"";608;"1,27";"0,12";"Nie"
1;3;24;"S≥awomir Adam GADEK";"KOMITET WYBORCZY NOWA LEWICA";"MÍøczyzna";"inøynier mechanik - úrodki transportu";"Jerzmanowa";"020303";"gm. Jerzmanowa";"cz≥onek partii politycznej: Lewica Razem";"";649;"1,36";"0,13";"Nie"
1;4;1;"Eløbieta Barbara WITEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"nauczyciel";"Jawor";"020501";"m. Jawor";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";89172;"51,06";"17,77";"Tak"
1;4;2;"Marzena Anna MACHA£EK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"nauczyciel";"Jelenia GÛra";"026101";"m. Jelenia GÛra";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";18363;"10,51";"3,66";"Tak"
1;4;3;"Szymon Marek POGODA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"parlamentarzysta";"Boles≥awiec";"020101";"m. Boles≥awiec";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";10117;"5,79";"2,02";"Tak"
1;4;4;"Krzysztof Jan KUB”W";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"parlamentarzysta";"Lubin";"021101";"m. Lubin";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";15928;"9,12";"3,17";"Tak"
1;4;5;"Stanis≥aw Adam ØUK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"emeryt";"ZawidÛw";"022501";"m. ZawidÛw";"nie naleøy do partii politycznej";"";4491;"2,57";"0,89";"Nie"
1;4;6;"Wojciech Micha≥ ZUBOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"parlamentarzysta";"G≥ogÛw";"020301";"m. G≥ogÛw";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";8527;"4,88";"1,70";"Tak"
1;4;7;"Ewa Zofia SZYMA—SKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"parlamentarzysta";"Legnica";"026201";"m. Legnica";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";4039;"2,31";"0,80";"Nie"
1;4;8;"Adam BABUåKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"przedstawiciel w≥adzy samorzπdowej - starosta";"Nowa Wieú Legnicka";"020905";"gm. Legnickie Pole";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";1755;"1,00";"0,35";"Nie"
1;4;9;"Bogus≥aw Stanis≥aw BARNAå";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"rolnik";"Rzeczyca";"021603";"gm. GrÍbocice";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";744;"0,43";"0,15";"Nie"
1;4;10;"Teresa ZEMBIK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"nauczyciel";"LubaÒ";"021001";"m. LubaÒ";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";1541;"0,88";"0,31";"Nie"
1;4;11;"Marta Kamila WIS£OCKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"przedstawiciel w≥adzy samorzπdowej - radna";"Legnica";"026201";"m. Legnica";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";1131;"0,65";"0,23";"Nie"
1;4;12;"Jaros≥aw Andrzej G BORYS";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"ekonomista";"Kamienna GÛra";"020701";"m. Kamienna GÛra";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";956;"0,55";"0,19";"Nie"
1;4;13;"Wojciech Stanis≥aw DOBRO£OWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"wyøszy urzÍdnik samorzπdowy - burmistrz";"GronÛw";"022507";"gm. Zgorzelec";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";2763;"1,58";"0,55";"Nie"
1;4;14;"Piotr Adam KARWAN";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"ekonomista";"Radwanice";"021606";"gm. Radwanice";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";1681;"0,96";"0,33";"Nie"
1;4;15;"Pawe≥ KURA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"przedstawiciel w≥adzy samorzπdowej - radny";"Lubin";"021101";"m. Lubin";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";5990;"3,43";"1,19";"Nie"
1;4;16;"Roman W≥adys≥aw ROZMYS£OWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"MÍøczyzna";"dyrektor";"Biedrzychowa";"021604";"gm. Polkowice";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";899;"0,51";"0,18";"Nie"
1;4;17;"Alina Ewa SUDO£-KORNALEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"leúnik";"Piechowice";"020603";"m. Piechowice";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";564;"0,32";"0,11";"Nie"
1;4;18;"Dorota BOJAKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOå∆";"Kobieta";"administratywista";"Bogatynia";"022503";"gm. Bogatynia";"cz≥onek partii politycznej: Prawo i SprawiedliwoúÊ";"";531;"0,30";"0,11";"Nie"
